Match,Team_1,Team_2,Player_of_the_Match,Venue,City,Match_info,Score_Card
GUJARAT TITANS VS PUNJAB KINGS,GT,PK,Shashank Singh,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//89749/gt-vs-pbks-17th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89749/gt-vs-pbks-17th-match-indian-premier-league-2024
SUNRISERS HYDERABAD VS CHENNAI SUPER KINGS,SH,CSK,Abhishek Sharma,Rajiv Gandhi International Stadium,Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary//89752/srh-vs-csk-18th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89752/srh-vs-csk-18th-match-indian-premier-league-2024
RAJASTHAN ROYALS VS ROYAL CHALLENGERS BENGALURU,RR,RCB,Jos Buttler,Sawai Mansingh Stadium,Jaipur,https://www.cricbuzz.com/live-cricket-full-commentary//89756/rr-vs-rcb-19th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89756/rr-vs-rcb-19th-match-indian-premier-league-2024
MUMBAI INDIANS VS DELHI CAPITALS,MI,DC,Romario Shepherd,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//89763/mi-vs-dc-20th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89763/mi-vs-dc-20th-match-indian-premier-league-2024
LUCKNOW SUPER GIANTS VS GUJARAT TITANS,LSG,GT,Yash Thakur,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,https://www.cricbuzz.com/live-cricket-full-commentary//89770/lsg-vs-gt-21st-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89770/lsg-vs-gt-21st-match-indian-premier-league-2024
CHENNAI SUPER KINGS VS KOLKATA KNIGHT RIDERS,CSK,KKR,Ravindra Jadeja,MA Chidambaram Stadium,Chennai,https://www.cricbuzz.com/live-cricket-full-commentary//91380/csk-vs-kkr-22nd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91380/csk-vs-kkr-22nd-match-indian-premier-league-2024
PUNJAB KINGS VS SUNRISERS HYDERABAD,PK,SH,Nitish Reddy,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://www.cricbuzz.com/live-cricket-full-commentary//91389/pbks-vs-srh-23rd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91389/pbks-vs-srh-23rd-match-indian-premier-league-2024
RAJASTHAN ROYALS VS GUJARAT TITANS,RR,GT,Rashid Khan,Sawai Mansingh Stadium,Jaipur,https://www.cricbuzz.com/live-cricket-full-commentary//91393/rr-vs-gt-24th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91393/rr-vs-gt-24th-match-indian-premier-league-2024
MUMBAI INDIANS VS ROYAL CHALLENGERS BENGALURU,MI,RCB,Jasprit Bumrah,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//91398/mi-vs-rcb-25th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91398/mi-vs-rcb-25th-match-indian-premier-league-2024
LUCKNOW SUPER GIANTS VS DELHI CAPITALS,LSG,DC,Kuldeep Yadav,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,https://www.cricbuzz.com/live-cricket-full-commentary//91407/lsg-vs-dc-26th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91407/lsg-vs-dc-26th-match-indian-premier-league-2024
PUNJAB KINGS VS RAJASTHAN ROYALS,PK,RR,Shimron Hetmyer,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://www.cricbuzz.com/live-cricket-full-commentary//91416/pbks-vs-rr-27th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91416/pbks-vs-rr-27th-match-indian-premier-league-2024
KOLKATA KNIGHT RIDERS VS LUCKNOW SUPER GIANTS,KKR,LSG,Philip Salt,Eden Gardens,Kolkata,https://www.cricbuzz.com/live-cricket-full-commentary//91420/kkr-vs-lsg-28th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91420/kkr-vs-lsg-28th-match-indian-premier-league-2024
MUMBAI INDIANS VS CHENNAI SUPER KINGS,MI,CSK,Matheesha Pathirana,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//91425/mi-vs-csk-29th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91425/mi-vs-csk-29th-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,RCB,SH,Travis Head,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//91434/rcb-vs-srh-30th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91434/rcb-vs-srh-30th-match-indian-premier-league-2024
KOLKATA KNIGHT RIDERS VS RAJASTHAN ROYALS,KKR,RR,Jos Buttler,Eden Gardens,Kolkata,https://www.cricbuzz.com/live-cricket-full-commentary//91443/kkr-vs-rr-31st-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91443/kkr-vs-rr-31st-match-indian-premier-league-2024
GUJARAT TITANS VS DELHI CAPITALS,GT,DC,Rishabh Pant,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//91452/gt-vs-dc-32nd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91452/gt-vs-dc-32nd-match-indian-premier-league-2024
