Match_id,Score,Team,Opposite_Team,Innings
41,Shahbaz Ahmed    not out  40 37 1 1 108.11,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Abdul Samad    c and b Karn Sharma  10 6 0 1 166.67,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Pat Cummins (c)    c Siraj b Green  31 15 1 3 206.67,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Bhuvneshwar Kumar    c Siraj b Green  13 13 3 0 100.00,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Jaydev Unadkat    not out  8 10 1 0 80.00,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
42,Prabhsimran Singh    run out (Narine)  54 20 4 5 270.00,Punjab Kings,Kolkata Knight Riders,2
42,Jonny Bairstow    not out  108 48 8 9 225.00,Punjab Kings,Kolkata Knight Riders,2
42,Rilee Rossouw    c Shreyas Iyer b Narine  26 16 1 2 162.50,Punjab Kings,Kolkata Knight Riders,2
42,Shashank Singh    not out  68 28 2 8 242.86,Punjab Kings,Kolkata Knight Riders,2
43,Ishan Kishan (wk)    c Axar b Mukesh Kumar  20 14 4 0 142.86,Mumbai,Delhi Capitals,2
43,Rohit Sharma    c Shai Hope b Khaleel Ahmed  8 8 1 0 100.00,Mumbai,Delhi Capitals,2
43,Suryakumar Yadav    c Williams b Khaleel Ahmed  26 13 3 2 200.00,Mumbai,Delhi Capitals,2
43,Tilak Varma    run out ((sub)Sumit Kumar/Pant)  63 32 4 4 196.88,Mumbai,Delhi Capitals,2
43,Hardik Pandya (c)    c Mukesh Kumar b Rasikh Salam  46 24 4 3 191.67,Mumbai,Delhi Capitals,2
43,Nehal Wadhera    c Pant b Rasikh Salam  4 2 1 0 200.00,Mumbai,Delhi Capitals,2
43,Tim David    lbw b Mukesh Kumar  37 17 2 3 217.65,Mumbai,Delhi Capitals,2
