Match_id,Bowling,Team,Opposite_Team,Innings
31,Harshit Rana   4 0 45 2 0 1 11.20,Kolkata Knight Riders,Rajasthan Royals,2
31,Sunil Narine   4 0 30 2 0 3 7.50,Kolkata Knight Riders,Rajasthan Royals,2
31,Varun Chakaravarthy   4 0 36 2 0 1 9.00,Kolkata Knight Riders,Rajasthan Royals,2
31,Andre Russell   1 0 17 0 0 0 17.00,Kolkata Knight Riders,Rajasthan Royals,2
32,Sandeep Warrier   3 0 40 2 0 0 13.30,Gujarat Titans,Delhi Capitals,2
32,Spencer Johnson   2 0 22 1 0 2 11.00,Gujarat Titans,Delhi Capitals,2
32,Rashid Khan   2 0 12 1 0 0 6.00,Gujarat Titans,Delhi Capitals,2
32,Noor Ahmad   1.5 0 14 0 0 0 7.60,Gujarat Titans,Delhi Capitals,2
33,Gerald Coetzee   4 0 32 3 0 6 8.00,Mumbai,Punjab Kings,2
33,Jasprit Bumrah   4 0 21 3 1 1 5.20,Mumbai,Punjab Kings,2
33,Akash Madhwal   3.1 0 46 1 1 4 14.50,Mumbai,Punjab Kings,2
33,Hardik Pandya (c)   4 0 33 1 0 3 8.20,Mumbai,Punjab Kings,2
33,Shreyas Gopal   2 0 26 1 0 0 13.00,Mumbai,Punjab Kings,2
33,Romario Shepherd   2 0 20 0 0 0 10.00,Mumbai,Punjab Kings,2
34,Deepak Chahar   3 0 26 0 0 0 8.70,Chennai Super Kings,Lucknow Super Giants,2
34,Tushar Deshpande   4 0 42 0 1 4 10.50,Chennai Super Kings,Lucknow Super Giants,2
34,Mustafizur Rahman   4 0 43 1 0 2 10.80,Chennai Super Kings,Lucknow Super Giants,2
34,Ravindra Jadeja   3 0 32 0 0 1 10.70,Chennai Super Kings,Lucknow Super Giants,2
34,Matheesha Pathirana   4 0 29 1 0 2 7.20,Chennai Super Kings,Lucknow Super Giants,2
34,Moeen Ali   1 0 5 0 0 0 5.00,Chennai Super Kings,Lucknow Super Giants,2
35,Washington Sundar   2 0 46 1 0 0 23.00,Sunrisers Hyderabad,Delhi Capitals,2
35,Bhuvneshwar Kumar   4 0 33 1 0 3 8.20,Sunrisers Hyderabad,Delhi Capitals,2
35,Pat Cummins (c)   4 0 35 0 0 0 8.80,Sunrisers Hyderabad,Delhi Capitals,2
35,T Natarajan   4 1 19 4 0 1 4.80,Sunrisers Hyderabad,Delhi Capitals,2
35,Mayank Markande   2 0 26 2 0 2 13.00,Sunrisers Hyderabad,Delhi Capitals,2
35,Shahbaz Ahmed   1 0 22 0 0 0 22.00,Sunrisers Hyderabad,Delhi Capitals,2
35,Nitish Reddy   2.1 0 17 2 0 1 7.80,Sunrisers Hyderabad,Delhi Capitals,2
36,Harshit Rana   4 0 33 2 0 1 8.20,Kolkata Knight Riders,Royal Challengers Bengaluru,2
36,Mitchell Starc   3 0 55 1 0 1 18.30,Kolkata Knight Riders,Royal Challengers Bengaluru,2
36,Varun Chakaravarthy   4 0 36 1 0 0 9.00,Kolkata Knight Riders,Royal Challengers Bengaluru,2
36,Sunil Narine   4 0 34 2 0 0 8.50,Kolkata Knight Riders,Royal Challengers Bengaluru,2
36,Suyash Sharma   2 0 33 0 0 1 16.50,Kolkata Knight Riders,Royal Challengers Bengaluru,2
36,Andre Russell   3 0 25 3 0 1 8.30,Kolkata Knight Riders,Royal Challengers Bengaluru,2
37,Kagiso Rabada   4 0 40 0 0 0 10.00,Punjab Kings,Gujarat Titans,2
37,Arshdeep Singh   2.1 0 17 1 0 0 7.80,Punjab Kings,Gujarat Titans,2
37,Harshal Patel   3 0 15 3 0 0 5.00,Punjab Kings,Gujarat Titans,2
37,Sam Curran (c)   2 0 18 1 0 0 9.00,Punjab Kings,Gujarat Titans,2
37,Harpreet Brar   4 0 35 0 0 0 8.80,Punjab Kings,Gujarat Titans,2
37,Liam Livingstone   4 0 19 2 0 1 4.80,Punjab Kings,Gujarat Titans,2
38,Hardik Pandya (c)   2 0 21 0 0 0 10.50,Mumbai,Rajasthan Royals,2
38,Jasprit Bumrah   4 0 37 0 1 1 9.20,Mumbai,Rajasthan Royals,2
38,Nuwan Thushara   3 0 28 0 0 0 9.30,Mumbai,Rajasthan Royals,2
38,Gerald Coetzee   2 0 25 0 0 3 12.50,Mumbai,Rajasthan Royals,2
38,Mohammad Nabi   3 0 30 0 0 0 10.00,Mumbai,Rajasthan Royals,2
38,Piyush Chawla   4 0 33 1 0 0 8.20,Mumbai,Rajasthan Royals,2
38,Tilak Varma   0.4 0 8 0 0 0 12.00,Mumbai,Rajasthan Royals,2
39,Deepak Chahar   2 0 11 1 0 0 5.50,Chennai Super Kings,Lucknow Super Giants,2
39,Tushar Deshpande   3 0 34 0 1 0 11.30,Chennai Super Kings,Lucknow Super Giants,2
39,Mustafizur Rahman   3.3 0 51 1 1 0 14.60,Chennai Super Kings,Lucknow Super Giants,2
39,Shardul Thakur   3 0 42 0 0 1 14.00,Chennai Super Kings,Lucknow Super Giants,2
39,Moeen Ali   2 0 21 0 0 0 10.50,Chennai Super Kings,Lucknow Super Giants,2
39,Ravindra Jadeja   2 0 16 0 1 0 8.00,Chennai Super Kings,Lucknow Super Giants,2
